RANKING OF CITIES BASED ON % ANNUAL POSSIBLE SUNSHINE IN DESCENDING 
ORDER FROM MOST TO LEAST AVERAGE POSSIBLE SUNSHINE 
                                          
SOURCE:  http://www.ncdc.noaa.gov/oa/climate/online/ccd/pctpos.txt
DATA THROUGH 2004

CITY, STATE                       ANNUAL % AVG POSSIBLE SUNSHINE        NO. OF YEARS OF DATA
YUMA, AZ                      			90%				42
REDDING, CA                  			88% 				10
LAS VEGAS, NV             			85%                             47
PHOENIX, AZ               			85%                            101
TUCSON, AZ                			85%                             53
EL PASO, TX               	            	84%                             54
FRESNO, CA                   			79%                             46
RENO, NV                       			79%                             45
FLAGSTAFF, AZ           			78%                             15
SACRAMENTO, CA          			78%                             46
ALBUQUERQUE, NM         			76%                             63
KEY WEST, FL            			76%                             38
PUEBLO, CO                      	        76%                             61
MIDLAND-ODESSA, TX       			74%                             22
ROSWELL, NM              			74%                              7
AMARILLO, TX             			73%                             61
ELY, NV                          	       	73%                             56
LOS ANGELES C.O., CA    			73%                             32
LAKE CHARLES, LA            			72%                             19
LUBBOCK, TX                 			72%                             25
NORTH LITTLE ROCK, AR       			72%                             24
GRAND JUNCTION, CO          			71%                             56
HONOLULU, HI              			71%                             46
JOHNSTON ISLAND, PC             	    	71%                             22
ABILENE, TX                     	      	70%                             49
DODGE CITY, KS          			70%                             59
MIAMI, FL               		        70%                             20
MILFORD, UT              			70%                             16
WAKE ISLAND, PC         			70%                             28
DENVER, CO              			69%                             46
LANDER, WY              			68%                             50
OKLAHOMA CITY, OK         			68%	                        42
SAN DIEGO, CA             			68%                             56
WINNEMUCCA, NV          			68%                             42
CONCORDIA, KS           			67%                             34
KAHULUI, HI             			67%                             37
NORTH PLATTE, NE        			67%                             50
SAN JUAN, PR            			67%                             47
APALACHICOLA, FL        			66%                             57
CHEYENNE, WY            			66%                             63
MACON, GA               			66%                             48
SALT LAKE CITY, UT           			66%                             64
SAN FRANCISCO C.O., CA				66%                             38
TAMPA, FL                			66%                             50
VALENTINE, NE               			65%                             29
WICHITA, KS             			65%                             49
BOISE, ID                  		        64%                             60
COLUMBIA, SC               			64%                             46
MEMPHIS, TN                			64%                             35
POCATELLO, ID           			64%                             53
SHREVEPORT, LA          			64%                             50
TUPELO, MS              			64%                             13
CHARLESTON AP, SC        			63%                             39
HURON, SD               			63%                             55
JACKSONVILLE, FL        			63%                             50
RAPID CITY, SD          			63%                             55
RICHMOND, VA            			63%                             46
SHERIDAN, WY            			63%                             55
WILMINGTON, NC          			63%                             51
CHARLOTTE, NC           			62%                             48
GALVESTON, TX           			62%                            103 
LITTLE ROCK, AR         			62%                             32
SAVANNAH, GA            			62%                             46
TULSA, OK                   			62%                             55
CAIRO, IL                 		        61%                             45
DALLAS-FORT WORTH, TX  				61%                             17
FORT SMITH, AR          			61%                             51
GREAT FALLS, MT           			61%                             46
JACKSON, MS             			61%                             33
LINCOLN, NE             			61%                             40
SIOUX CITY, IA          			61%                             55
TOPEKA, KS              			61%                             53
ATLANTA, GA             			60%                             65
AUSTIN/BERGSTROM, TX            		60%                             60
AUSTIN/CITY, TX                 		60%                             58
BILLINGS, MT            			60%                             57
BROWNSVILLE, TX            			60%                             59
CAPE HATTERAS, NC       			60%                             33
CORPUS CHRISTI, TX           			60%                             60
GREENSBORO-WNSTN-SALM, NC			60%                             68
GREENVILLE-SPARTANBURG AP, SC			60%                             39
KANSAS CITY, MO              			60%                             23
NORFOLK, VA                  			60%                             32
OMAHA (NORTH), NE       			60%                             57
PENSACOLA, FL           			60%                              5
SAN ANTONIO, TX             			60%                             53
SPRINGFIELD, MO                 		60%                             57
WILLISTON, ND                   		60%                             39
ASHEVILLE, NC               			59%                             32
BISMARCK, ND                   			59%                             63
DES MOINES, IA          			59%                             50
EVANSVILLE, IN          			59%                             56
FORT WAYNE, IN          			59%                             52
HELENA, MT                   			59%                             55
HOUSTON, TX                   			59%                             27
